longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.46,38.52,29.0,3873.0,797.0,2237.0,706.0,2.1736,75687.0,INLAND
-117.23,33.09,7.0,5320.0,855.0,2015.0,768.0,6.3373,297885.01,NEAR OCEAN
-119.04,35.37,44.0,1618.0,310.0,667.0,300.0,2.875,78807.0,INLAND
-117.13,32.75,24.0,1877.0,519.0,898.0,483.0,2.2264,123486.0,NEAR OCEAN
-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,226094.0,<1H OCEAN
-122.04,37.96,28.0,1207.0,252.0,724.0,252.0,3.6964,167170.0,NEAR BAY
-122.03,37.33,23.0,4221.0,671.0,1782.0,641.0,7.4863,412506.11,<1H OCEAN
-118.31,34.2,36.0,1692.0,263.0,778.0,278.0,5.0865,325083.0,<1H OCEAN
-121.95,37.27,17.0,1330.0,271.0,408.0,258.0,1.7171,229318.02,<1H OCEAN
-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,394324.68,<1H OCEAN
-121.54,39.08,23.0,1076.0,216.0,724.0,197.0,2.3598,69979.0,INLAND
-117.99,33.69,12.0,2480.0,858.0,1441.0,788.0,1.6705,289111.01,<1H OCEAN
-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,271993.0,INLAND
-119.83,36.78,30.0,3162.0,640.0,1660.0,639.0,2.8359,78484.0,INLAND
-117.22,32.83,31.0,2558.0,512.0,1164.0,492.0,3.4318,205641.0,NEAR OCEAN
-121.88,37.37,14.0,6016.0,1404.0,3258.0,1316.0,3.5745,295816.0,<1H OCEAN
-118.08,33.93,39.0,1478.0,324.0,1127.0,320.0,3.525,160768.0,<1H OCEAN
-117.91,33.65,17.0,1328.0,377.0,762.0,344.0,2.2222,240710.0,<1H OCEAN
-122.53,37.9,44.0,2846.0,551.0,1232.0,537.0,3.8839,350993.01,NEAR BAY
-117.86,33.79,42.0,1024.0,191.0,483.0,187.0,4.105,196971.0,<1H OCEAN
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,155003.0,INLAND
-122.28,37.91,48.0,2083.0,298.0,685.0,286.0,7.3089,351709.03,NEAR BAY
-121.23,38.79,45.0,907.0,176.0,463.0,190.0,2.2292,97628.0,INLAND
-117.94,34.1,31.0,1239.0,254.0,929.0,244.0,3.3625,157107.0,<1H OCEAN
-120.96,39.12,24.0,2069.0,436.0,909.0,374.0,2.5326,132870.0,INLAND
-117.35,33.98,31.0,4163.0,1242.0,3928.0,1076.0,1.6943,91645.0,INLAND
-119.03,34.24,25.0,3655.0,545.0,1776.0,544.0,5.687,252552.01,<1H OCEAN
-117.0,32.77,30.0,1802.0,401.0,776.0,386.0,2.8125,167306.0,<1H OCEAN
-120.84,35.31,23.0,3100.0,603.0,1515.0,609.0,2.8493,204988.0,NEAR OCEAN
-118.33,34.08,50.0,2989.0,832.0,1345.0,775.0,3.2426,382237.01,<1H OCEAN
-118.05,33.81,26.0,2523.0,437.0,1377.0,450.0,5.2542,233533.0,<1H OCEAN
-117.94,34.08,32.0,2704.0,514.0,1669.0,497.0,4.4653,194341.0,<1H OCEAN
-118.8,34.27,12.0,3330.0,600.0,1577.0,584.0,4.6985,249643.0,<1H OCEAN
-122.0,37.27,33.0,1664.0,271.0,759.0,272.0,5.7876,359061.0,<1H OCEAN
-121.89,37.3,47.0,2355.0,426.0,961.0,428.0,5.3955,310066.03,<1H OCEAN
-117.22,32.74,52.0,1260.0,202.0,555.0,209.0,7.2758,352888.03,NEAR OCEAN
-121.49,38.59,20.0,463.0,180.0,486.0,190.0,1.0313,82993.0,INLAND
-118.39,34.02,38.0,2447.0,636.0,1312.0,574.0,3.5909,295966.01,<1H OCEAN
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,3.2019,98100.0,INLAND
-118.02,34.09,32.0,1747.0,399.0,1199.0,402.0,3.4286,197497.0,INLAND
-118.59,34.21,34.0,2389.0,521.0,1560.0,514.0,4.8333,226860.0,<1H OCEAN
-116.8,33.52,3.0,830.0,145.0,272.0,104.0,3.8281,170997.04,INLAND
-118.19,33.85,45.0,1167.0,302.0,773.0,287.0,3.2798,174715.0,NEAR OCEAN
-117.18,32.8,10.0,3821.0,631.0,1605.0,609.0,5.5454,239559.0,NEAR OCEAN
-117.86,33.71,36.0,191.0,42.0,208.0,37.0,3.375,159700.0,<1H OCEAN
-118.08,33.97,38.0,1026.0,190.0,789.0,193.0,4.2,165616.0,<1H OCEAN
-117.36,34.0,19.0,4592.0,895.0,2769.0,838.0,3.3622,110297.0,INLAND
-121.78,37.97,4.0,17032.0,2546.0,7653.0,2359.0,5.5601,214383.0,INLAND
-121.27,38.13,40.0,2402.0,509.0,1197.0,486.0,2.1771,93503.0,INLAND
-118.67,34.28,21.0,4059.0,598.0,2133.0,634.0,5.6949,242453.0,<1H OCEAN
-121.83,37.37,43.0,1461.0,284.0,800.0,258.0,3.2279,188440.0,<1H OCEAN
-122.53,37.92,45.0,1530.0,324.0,608.0,328.0,3.875,381236.0,NEAR BAY
-117.91,33.73,26.0,2413.0,512.0,2867.0,509.0,4.7639,185464.0,<1H OCEAN
-119.79,36.75,33.0,3161.0,934.0,3530.0,846.0,1.123,49481.0,INLAND
-117.9,33.64,28.0,2466.0,507.0,1081.0,465.0,3.9375,311554.0,<1H OCEAN
-121.01,37.66,36.0,3679.0,613.0,1366.0,581.0,4.5,155800.0,INLAND
-122.38,40.61,14.0,4773.0,1133.0,2101.0,1072.0,1.7227,99127.0,INLAND
-122.17,37.73,52.0,1555.0,289.0,620.0,292.0,3.7159,194008.0,NEAR BAY
-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,133889.0,INLAND
-117.06,32.57,25.0,1268.0,282.0,991.0,299.0,3.0284,124393.0,NEAR OCEAN
-117.9,34.07,36.0,1009.0,164.0,466.0,149.0,5.8519,255246.01,<1H OCEAN
-120.48,35.05,24.0,2314.0,468.0,1549.0,463.0,2.8203,151857.0,<1H OCEAN
-121.17,38.71,15.0,3084.0,557.0,1040.0,562.0,2.5183,245760.0,INLAND
-117.17,32.73,52.0,408.0,143.0,313.0,143.0,1.815,131337.0,NEAR OCEAN
